sofked,beech (tree)
Cartix,tangelo (fruit)
xirpux,tangerine (fruit)
horgez,tangor (fruit)
guzark,terap (fruit)
Cifesk,teysmanniana (fruit)
carbin,totara (fruit)
bemdus,toyon (fruit)
domdud,trichosanthes (fruit)
fastaC,ugli fruit (fruit)
yayenz,unshiu (fruit)
poqkas,vanilla (fruit)
rogzed,wampee (fruit)
slanos,watermelon (fruit)
fucugj,wild jack (fruit)
yerpoz,wongi (fruit)
nunzol,wood-apple (fruit)
pemdos,yangmei (fruit)
txaqaq,yantok (fruit)
pendav,yuzu (fruit)
gixum,zig-zag vine (fruit)
vesux,zwetschge (fruit)
sramab,ōgonkan (fruit)
vindim,fungus
kirCon,lichen
vezdav,strawberry
vlixos,seaweed
nonem,stonewort (plant)
paskaC,algae (plant)
narbak,desmid (plant)
marzeq,gulfweed (plant)
yoyurg,diatom (plant)
garkos,dinoflagellata (plant)
guvend,moss (plant)
vurkam,spine (cactus)
