tune,english
rislufa,santol (fruit)
zazduza,sapodilla (fruit)
migzula,sapote (fruit)
lasoqka,saskatoon (fruit)
kikala,satinash (fruit)
kizdaka,saw palmetto (fruit)
noklixa,shangjuan (fruit)
norzoba,shipova (fruit)
sugrega,shonan gold (fruit)
glomufa,sloe (fruit)
listema,solomon's plume (fruit)
vuyirda,soncoya (fruit)
frizoka,sorb (fruit)
xeqaspa,soursop (fruit)
kogzoza,star fruit (fruit)
venzoza,sudachi (fruit)
tranaza,sumac (fruit)
bulzama,swartbas (fruit)
sugrika,tamarillo (fruit)
nevarta,tamarind (fruit)
difluda,tangelo (fruit)
geskeka,tangerine (fruit)
vemexa,tangor (fruit)
sniseda,terap (fruit)
frakaxa,teysmanniana (fruit)
slidufa,totara (fruit)
sublefa,toyon (fruit)
revrava,trichosanthes (fruit)
yakluna,ugli fruit (fruit)
rahema,unshiu (fruit)
lerpala,vanilla (fruit)
tresuxa,wampee (fruit)
nezoxa,watermelon (fruit)
xuharta,wild jack (fruit)
wugerpa,wongi (fruit)
xoltaka,wood-apple (fruit)
kikoda,yangmei (fruit)
zozefka,yantok (fruit)
woltova,yuzu (fruit)
kroqola,zig-zag vine (fruit)
sraxuva,zwetschge (fruit)
yikrala,ōgonkan (fruit)
sinera,fungus
diderpa,lichen
leqkefa,strawberry
xestuva,seaweed
gesliga,stonewort (plant)
letxura,algae (plant)
zotxuxa,desmid (plant)
netreza,gulfweed (plant)
gisnuka,diatom (plant)
kisnixa,dinoflagellata (plant)
feyarpa,moss (plant)
drogega,spine (cactus)
